text	label	label_text
crossrail link  to get go-ahead  the £10bn crossrail transport plan  backed by business groups  is to get the go-ahead this month  according to the mail on sunday.  it says the uk treasury has allocated £7.5bn ($13.99bn) for the project and that talks with business groups on raising the rest will begin shortly. the much delayed crossrail link bill would provide for a fast cross-london rail link. the paper says it will go before the house of commons on 23 february.  a second reading could follow on 16 or 17 march.  we ve always said we are going to introduce a hybrid bill for crossrail in the spring and this remains the case   the department for transport said on sunday. jeremy de souza  a spokesman for crossrail  said on sunday he could not confirm whether the treasury was planning to invest £7.5bn or when the bill would go before parliament.  however  he said some impetus may have been provided by the proximity of an election.  the new line would go out as far as maidenhead  berkshire  to the west of london  and link heathrow to canary wharf via the city. heathrow to the city would take 40 minutes  dramatically cutting journey times for business travellers  and reducing overcrowding on the tube. the line has the support of the mayor of london  ken livingstone  business groups and the government  but there have been three years of arguments over how it should be funded. the mail on sunday s financial mail said the £7.5bn of treasury money was earmarked for spending in £2.5bn instalments in 2010  2011 and 2012.	1	business
brown names 16 march for budget chancellor gordon brown will deliver his budget to the house of commons on 16 march  the treasury has announced.  the budget  likely to be the last before the general election  will be at 1230 gmt on that wednesday  just after prime minister s question time. the annual event is when the chancellor outlines the government s taxation and broader economic predictions. it is likely to set out much of the tax and spending battleground for the election  widely expected on 5 may.  next month s budget will be mr brown s eighth since labour came to power in 1997. if a may election is called  there could be as little as 18 days between the budget and the announcement of a date for the election. a shortened finance bill would have to be rushed through parliament with all-party support to allow the government to continue collecting revenue. the full finance bill  with the budget measures in it  would then be returned to the commons after the election  if labour secures another term in office. as mr brown announced the budget date in a short ministerial statement  accountancy firm ernst & young urged him to put politics aside and focus on the long-term requirements of the economy.  in the budgets that were given immediately before the last six elections  taxes were cut by the incumbent chancellor and  in many cases  taxes were increased soon after the election result   said aidan o carroll  e&y s uk head of tax.	4	politics
kelly trails new discipline power teachers could get more powers to remove unruly pupils from classes under a  zero tolerance  drive  education secretary ruth kelly has suggested.  ms kelly told the bbc progress had been made against severely disruptive children but parents were still worried about lower level problems. the minister also confirmed she received  spiritual support  from the catholic movement opus dei. but she denied her faith meant she would refuse key government jobs.  the conservatives have made school discipline one of their five priority areas in the run-up to the next general election. ms kelly is expected to announce her plans on the issue in the next fortnight. she told bbc one s breakfast with frost:  it is really important to support head teachers and teachers in tackling disruption in the classroom.  we have made huge progress on the really difficult cases  the pupils who have severely disruptive behaviour.   but quite rightly what teachers are concerned about and what parents are concerned about is that this lower level disruption that goes on in the classroom now is tackled.  i would like to see the teacher being able to remove disruptive children from the classroom completely and have either alternative provision within the school or indeed off the school and may be working together with other schools in a particular area to provide that provision.  it is thought the plans may distinguish between excluding pupils from schools and taking them out of mainstream classes. head teachers can currently exclude pupils who commit or threaten violence in school  who sexually abuse pupils or other people  who sell illegal drugs or who have persistent and malicious disruptive behaviour. ms kelly entered the cabinet last month in the reshuffle forced by the resignation of the then home secretary david blunkett. her links to opus dei  which means  work of god  in latin  have provoked controversy.  critics say the organisation  which adheres strictly to catholic teachings  is secretive and elitist but its members reject such claims. asked if she was a member of the group  ms kelly said:  i do have spiritual support from opus dei and that is right.  but those are private spiritual matters and i m sure you ll respect that politicians are entitled to a private life.  she categorically denied reports that her beliefs on issues such as contraception would make her refuse to serve as a health or international development minister. her collective responsibility as a cabinet minister meant she also took responsibility for policies in those areas  she argued.  the government has yet to issue its official response to the tomlinson review  which recommended absorbing existing exam qualifications into a diploma. ms kelly said reforms should build on gcses and a-levels. her comments did not impress tory shadow education secretary tim collins.  ruth kelly wants to ditch the tomlinson report on exam structures but has absolutely no idea what to put in its place   he said.  she also talks of improving discipline but cannot make her mind up how. this is an all talk agenda that lets down children  teachers and parents.	4	politics
uk debut for kevin spacey movie hollywood stars kevin spacey and kate bosworth attended the british premiere of new film  beyond the sea  in london s leicester square on thursday.  spacey  45  wrote  directed and starred in the film  inspired by the life of 1950s croooner bobby darin.  this is my tribute to someone i think was a remarkable talent   said spacey  who  as darin  sings all 18 songs on the film soundtrack. bosworth  21  plays darin s wife - real life hollywood actress sandra dee.  i knew absolutely nothing about bobby darin before this film  but now i m a huge fan   said bosworth  who attended the premiere with british boyfriend orlando bloom.   there is darkness and tragedy in the story  and it was a dream for me to land this part.  actress sandra dee continues to live in los angeles as a virtual recluse  but has given her approval to the biopic.   she called me last week and said she loved it   said spacey  who was joined at the premiere by members of the boy band westlife. spacey  a double oscar-winner  has long been fascinated by the story of singer bobby darin. the voice behind mack the knife  dream lover and beyond the sea  fought childhood illness to become one the biggest stars of the 1950s  but died aged 37 from the heart condition that had troubled him all his life.  bobby darin was one of the greatest entertainers the world has ever known  and yet  because he died young  he s been kind of forgotten   said spacey at the premiere.  making this film was the most fun i ve ever had in my entire life.  the movie also stars british actors bob hoskins and brenda blethyn  as darin s mother.	3	entertainment
bbc web search aids odd queries the bbc s online search engine was used a record amount in 2004  helping with enquires both simple and strange.  more than 277 million enquiries were made  asking for informaton of a wide range of subjects. the most requested search terms of 2004 included games  eastenders  cbbc  john peel  harry potter and olympics. but there were many strange enquiries  including: what is a dog   how do you say basketball  and what is the biggest collection of naval fluff  the search engine works by matching key words typed in to different web pages but many people still type in natural language questions. here are some of the strangest queries of 2004 - spelling and grammar errors left untouched - and their possible solutions:    - how to fold a serviette like an elf s boot        - how do i structure a french letter        - what is better one long vacation each year or several short vacations throughout the year        - what is so special about the swiss        - what are the contemporary issue in nurses        - what is the number 4 in this number 40052308090        - what is up        - what is the name of james martin s dog      search engines are key to the way people use the internet. companies such as google have become of paramount importance as they dictate how people travel through websites while online.	0	tech
robertson out to retain euro lure hearts manager john robertson hopes a place in the knock-out stages of the uefa cup could help keep some of his out-of-contract players at the club.   it could help. if we get through and have another european tie it may encourage players to stay at least until the end of the season   he said.  if we manage to get through it shows how well the club s progressing.  they have to think whether they are going to get other clubs like that should they decide to move on.  a win for robertson s side against ferencvaros would put them through to the last 32 if basle fail to beat feyenoord.  it s very much the player s prerogative but the fact that we ve been playing european football for the last three or four years is obviously an incentive   added robertson.  but we want players who want to play for the football club  who are committed and a run in europe always helps a little bit.  with the game being played at murrayfield instead of tynecastle because of uefa regulations  robertson sees both positive and negative aspects to the change of venue.   the pitch is not in the greatest condition. the heineken cup game was there at the weekend and the pitch is a bit threadbare   he said.  it s not ideal but it s the same for both teams so we just have to go out and there and perform. that s the most important thing.  but he added:  if tynecastle could have hosted 30 000 it would have been fantastic but that s one of the benefits of murrayfield - it allows us to bring even more of our supporters into it.  there will be a good atmosphere and the hearts fans have an important role to play.  we need their encouragement  we need them to get right behind the side and make it as good an atmosphere as possible.  hopefully the players will respond to that and i know they will because it s a fantastic european night for the club.	2	sport
executive trio leave aer lingus three senior executives of ireland s state-owned airline  aer lingus  are set to leave early on 28 january after accusations of a conflict of interest.  the trio are chief executive willie walsh  chief financial officer brian dunne and chief operations officer seamus kearney. the three have refused to confirm reports they plan to launch a private airline in competition with aer lingus. they announced in november they would quit in may  but did not give a reason. that decision had followed an announcement by irish prime minister bertie ahern - who is still considering the future of the airline - which ruled out a proposed management buy-out of aer lingus. mr walsh denied they had been forced out early because of the reports claiming they were set to launch a competitor airline.   what i do after i leave aer lingus is still too early to say   mr walsh told ap news agency on wednesday.  i have opportunities open to me. brian and seamus are in the equally fortunate position.  he said he had received more than 40 business proposals  mostly aviation-related  since the trio announced their resignations two months ago. mr walsh said there was no conflict of interest  and  if he was to launch a rival airline or join an existing competitor   this thing happens in every business .  there s absolutely no question of a conflict of interest. i ve been completely focused on my responsibilities at aer lingus   he told ap.  this week opposition politicians had called on the irish government to make an urgent decision on the future of the airline. on wednesday irish transport minister martin cullen said in a statement:  a conflict of interest cannot  should not and will not be allowed to arise between their current roles at aer lingus and their future career intentions.  last friday the minister had announced he was to advertise for three senior executives for aer lingus. mr walsh  who took charge in 2000  and his team have earned praise for turning aer lingus around  by cutting air fares and staff  and re-positioning it as a low-fare airline to rival ryanair. the company is 85% owned by the government and 15% by its staff.	1	business
talks held on gibraltar s future two days of talks on the future of gibraltar begin at jack straw s country residence later on wednesday.  officials at the two-day summit at the foreign secretary s official kent house  chevening  will plan a new forum on the rock s future. in october  mr straw and his spanish counterpart miguel moratinos agreed to establish a body that would give gibraltarians a voice in their future. most gibraltarians said in a referendum they wanted to remain british.  gibraltar s chief minister peter caruana will represent the british citizens living on the rock  while britain s europe director dominick chilcott will represent the uk. madrid is being represented by spain s director general for europe  jose maria pons. the initiative follows spain s socialist government s decision to put its long-standing sovereignty ambitions on hold. gibraltarians rejected plans for the rock s sovereignty to be shared between britain and spain in a referendum organised by gibraltar government.	4	politics
ruddock backs yapp s credentials wales coach mike ruddock says john yapp has what it takes as an international.  the 21-year-old blues prop is the only uncapped player in wales  six nations squad  gaining a chance in the absence of ospreys loose-head duncan jones.  john is a young man with a big future. he has been playing with the blues for two years and has racked up mileage on his playing clock   said ruddock.  he has international size  is a big  physical lad and a good ball-carrier with a high tackle-count.  ruddock s assessment was backed up by yapp s coach at the blues  former wales and lions prop dai young.   john s been on an upward curve all season and is going from strength to strength   young told bbc sport wales.  his ball carrying gives us good go-forward  he impresses in defence and his work-rate is excellent.  he s working hard on his scrummaging technique  which he is keen to improve to become a destroyer on the loose-head.  to be fair to him he s not quite there with the scrummaging yet  but nobody can fault his effort  commitment and attitude.  john s a very strong man and is eager for the challenge  if he s pitched in he won t let anyone down.  he s developing quickly  but i hope he isn t pushed too quickly in a way that would hurt his development.   ruddock hopes that the selection of yapp and dragons lock ian gough - out of the international reckoning since falling out with former coach steve hansen - will send a message to other players in wales.  john and ian have been rewarded for impressing during the heineken cup competition   said ruddock.  both of them have played well  and we want to send a message out that consistently playing well gets you in the squad.  we believe this is an exciting squad representing traditional values of welsh rugby  and based on the performances in the november internationals.  we have strength and experience up front  and well-recognised talent  pace and skill behind.  the management team just want to get hold of the players and get out on the training pitch at the moment.  they are all due in on sunday  and that s when the hard work starts.	2	sport
top tories on lib dem  hit list  the liberal democrats are aiming to unseat a string of top tories - including leader michael howard - at the next general election.  mr howard s seat is at the top of the liberal democrats  list. others targeted include oliver letwin  david davis and theresa may  lib dem s elections chief lord rennard said. he said it was  nothing personal  but that  very many of the prominent conservatives  had slender leads in seats where the lib dems were second.  in 2001  michael howard won the folkestone & hythe seat with 20 645 votes  compared to 14 738 for the liberal democrat candidate peter carroll  giving the tory leader a majority of 5 907. asked if this amounted to the party s much vaunted  decapitation strategy  lord rennard said it was not a term he had ever used. but he urged labour supporters to vote tactically to remove prominent conservatives.  i just don t think labour voters in these sort of seats could resist the temptation to use their votes effectively to remove a conservative.  he denied this strategy was opportunism  insisting the lib dem s policies on issues such as tuition fees  the council tax and free care for the elderly appealed  to all sides of the political spectrum .  we are in favour of tactical voting as long as the tactic is to vote liberal democrat   he added. a conservative spokesperson said:  the liberal democrats can talk all they like about strategy. the problem the liberal democrats face is that a large number of lib dem voters do not agree with their policies.  we will be pointing out how they are soft on crime  how they support higher taxes  their opposition to controlled immigration and support for giving europe more control over our lives .	4	politics
downing injury mars uefa victory middlesbrough boss steve mcclaren hopes that stewart downing did not seriously damage his hamstring during the 2-1 uefa cup win over graz ak.  the winger was carried off on a stretcher in the closing stages as boro booked their place in the last 16. mcclaren said:  stewart has tweaked a hamstring  which is a blow for us. we will assess it in the morning.  but i m delighted with the match result. they say in sport you can win ugly - and we certainly did.  mcclaren was relieved to make it through after a tough encounter at the riverside.   to be fair to graz  they had a gameplan - they knocked the ball forward  especially in the first half  and we struggled to deal with it.  in the second half we were better but it was frustrating because we got the goal - but one slip and they were back in it.  boro face sporting lisbon for a place in the quarter-finals after the portuguese side saw off feyenoord on thursday. and mcclaren added:  sporting are technically very good - portuguese sides always are.  but the journey goes on for us and we will now go to their magnificent stadium - after the first game here - we ll look forward to it.  goalscorer jimmy floyd hasselbaink added:  it wasn t a particularly beautiful match to watch - but they made it difficult for us.  we didn t play well at all. but you need a little bit of luck and i think we got that when my shot went through the legs of their goalkeeper.  i would have liked to play in holland - that would have been a little bit special to me.  but so is going back to portugal - i ll be playing against some lads i played with at boavista.	2	sport
briton wins short film oscar three of the five nominees in the live-action short film category at this year s oscars were british. for andrea arnold  who won the category  ashvin kumar and gary mckendry the past month has thrust them from relative obscurity into the limelight.  arnold s gritty drama wasp is about a single mother living on the breadline  while kumar s little terrorist follows a young pakistani muslim boy  who gets stuck on the wrong side of the heavily armed indian border. mckendry s entry  everything in this country must  forces british soldiers and catholics to challenge their relationship during the troubles in northern ireland. last week  the trio attended an official screening of all the nominated short films at the academy s headquarters in beverly hills.  i felt so privileged to have a thousand people watching my film on the biggest screen i ve ever seen   says arnold.  set in her native dartford  wasp tells the story of a young mum  who  unable to find a babysitter  leaves her four young daughters outside a pub while she s on a date. the image that sparked the film was that of a wasp crawling into a baby s mouth.  the other nominees said they made their films for this reason or that - they had something to say. but i just start with an image i can t shake off  work outwards from that and see what comes out   she explains.  since she presented children s tv shows number 73 and motormouth in the 1980s  arnold has kept a low profile and is having trouble adapting to this sudden onslaught of attention.  i m not interested in the publicity. it s not my personality. i m overwhelmed by all the fuss   she said.   it s all a bit like a beauty contest - all the films are great and so different.  but even though my film has won 30 awards worldwide (including one at sundance last month)  i d still be proud of it - even if it hadn t won any.  asked what the nomination means to her  arnold says she feels  flattered and honoured .  we ve all been overwhelmed by the response and can t get it in perspective yet. i m still reeling.   and she won t commit to an opinion of hollywood yet.  i m just in the middle of it  living moment to moment  day to day.  but despite her reservations about the academy awards and the media frenzy that surrounds it  she accepts that it has opened doors for her.  people will definitely listen to what i want to do now  and the phone didn t stop ringing for a week after i got nominated.  as for the future  arnold firmly believes that you often get a stronger vision of the world with short films.  you re left more to your own devices  without people interfering as much.  that said  she is currently working on a feature film with dogville and dancer in the dark director lars von trier.	3	entertainment
